Restoran_Kodu,ortam_þýklýðý,ortam_temizliði,yemek_kalitesi,hizmet_kalitesi,fiyat_uygunluðu,ulaþým_kolaylýðý,araç_park_olanaðý
R1111,5,7,8,9,5,?,3
R1112,10,3,2,9,4,9,4
R1113,1,2,1,10,6,9,8
R1114,8,1,2,1,4,3,5
R1115,2,?,4,6,2,3,8
R1116,1,3,9,5,4,3,9
R1117,8,4,8,1,9,2,8
R1118,6,4,10,3,9,7,1
R1119,10,3,5,10,1,7,9
R1120,9,5,2,5,9,8,7
R1121,7,5,5,6,9,1,2
R1122,5,9,4,10,8,7,8
R1123,6,10,10,5,6,6,2
R1124,?,6,9,?,5,?,4
R1125,1,1,1,4,7,9,1
R1126,7,?,2,5,8,4,4
R1127,2,2,3,2,6,4,9
R1128,3,1,?,?,1,10,5
R1129,2,8,7,2,7,2,6
R1130,1,7,8,3,?,4,7
R1131,3,5,8,7,4,8,10
R1132,4,4,?,7,2,5,?
R1133,2,6,4,5,8,8,7
R1134,10,7,8,1,4,2,2
R1135,10,5,4,7,6,9,8
R1136,?,5,7,2,9,4,3
R1137,9,7,2,10,4,10,8
R1138,2,8,9,2,5,7,5
R1139,6,?,10,1,1,3,9
R1140,4,6,4,4,5,9,10
R1141,1,2,9,10,1,10,10
R1142,4,10,8,1,4,2,7
R1143,5,2,8,7,8,6,5
R1144,4,1,8,1,2,8,9
R1145,1,8,5,4,6,1,9
R1146,2,7,5,10,8,8,8
R1147,2,9,2,5,4,1,5
R1148,4,9,7,7,6,4,1
R1149,6,7,9,3,6,6,10
R1150,3,3,5,8,2,3,3
R1151,3,8,2,4,7,4,1
R1152,4,7,3,10,7,4,9
R1153,8,8,10,9,3,8,2
R1154,7,8,1,7,2,10,5
R1155,6,7,9,9,1,6,9
R1156,4,9,8,7,3,5,6
R1157,5,2,3,4,9,1,6
R1158,1,5,1,2,8,2,5
R1159,9,9,10,1,1,2,10
R1160,9,3,2,7,3,2,4
R1161,7,5,3,4,3,6,2
R1162,7,4,6,6,5,5,6
R1163,9,5,9,3,2,6,5
R1164,6,5,8,3,4,4,5
R1165,3,3,6,10,10,1,2
R1166,3,6,?,1,4,10,2
R1167,8,1,5,9,6,3,10
R1168,1,3,6,2,4,8,8
R1169,3,8,1,7,2,7,8
R1170,10,4,8,5,5,4,9
R1171,3,5,9,3,7,4,10
R1172,9,1,4,8,6,9,1
R1173,1,8,9,4,3,10,6
R1174,9,10,4,5,2,5,8
R1175,3,2,7,2,9,3,10
R1176,1,6,?,8,3,5,1
R1177,3,2,9,6,8,3,8
R1178,?,5,9,7,5,7,5
R1179,7,4,7,6,4,2,10
R1180,3,9,3,1,4,9,5
R1181,5,1,6,1,8,9,4
R1182,4,7,9,3,7,4,9
R1183,1,3,?,9,7,4,9
R1184,1,5,7,?,?,3,8
R1185,1,8,4,1,9,7,6
R1186,10,9,5,5,7,7,5
R1187,3,6,6,2,7,6,10
R1188,3,5,7,9,7,9,2
R1189,7,3,7,4,8,4,2
R1190,9,2,10,4,8,10,9
R1191,5,1,7,6,5,6,10
R1192,5,9,7,2,7,7,10
R1193,3,8,4,10,5,7,3
R1194,7,6,4,6,6,7,1
R1195,10,2,9,10,4,5,7
R1196,3,2,2,?,3,6,8
R1197,3,1,?,7,2,3,4
R1198,4,9,1,6,?,?,?
R1199,9,2,6,2,9,8,9
R1200,8,5,3,2,7,1,7
R1201,5,6,3,10,9,8,10
R1202,8,10,4,?,7,5,7
R1203,6,4,1,9,9,10,6
R1204,3,8,6,4,8,8,2
R1205,4,6,8,5,7,6,10
R1206,2,5,5,9,1,10,6
R1207,7,7,10,2,9,4,8
R1208,7,6,9,9,2,1,5
R1209,8,5,6,6,6,10,1
R1210,7,8,5,5,7,10,7
R1211,5,9,1,5,6,10,6
R1212,8,7,8,1,6,1,6
R1213,4,8,9,5,2,8,8
R1214,10,9,4,9,7,8,1
R1215,10,9,10,6,1,3,6
R1216,3,5,1,8,2,6,3
R1217,1,1,3,10,5,5,9
R1218,7,5,8,5,8,1,7
R1219,6,5,10,7,4,9,3
R1220,4,3,9,1,2,4,6
R1221,2,1,4,1,10,6,3
R1222,7,5,4,4,3,9,2
R1223,1,1,5,8,9,5,7
R1224,1,4,2,7,5,9,3
R1225,3,7,6,?,6,8,5
R1226,4,3,9,7,5,7,2
R1227,?,4,1,2,10,1,?
R1228,6,4,2,1,7,3,10
R1229,7,9,8,8,1,5,8
R1230,10,9,8,10,2,4,4
R1231,1,9,2,4,1,8,4
R1232,6,5,6,4,8,10,9
R1233,9,5,5,6,9,8,?
R1234,3,5,3,8,3,2,1
R1235,1,10,9,3,3,6,9
R1236,4,7,10,8,1,3,2
R1237,7,?,10,8,2,5,7
R1238,4,6,6,8,6,10,3
R1239,5,1,4,5,8,6,4
R1240,3,5,9,7,1,8,3
